ra,dec,LS_id,z,source
140.5110626220703,50.976478576660156,NGC_2841,0.00212813892736421,2MRS
287.44207763671875,-63.857540130615234,NGC_6744,0.002805274040616459,2MRS
170.07090759277344,13.589489936828613,11201701+1335228,0.0027519037853847546,2MRS
186.3502197265625,18.19108009338379,MESSIER_085,0.0024316822539945286,2MRS
145.638671875,-3.6991400718688965,NGC_2974,0.0064010949868525385,2MRS
186.54922485351562,12.945969581604004,MESSIER_086,-0.000813896392283491,2MRS
40.10005187988281,39.06325149536133,NGC_1023,0.0021248032864122288,2MRS
187.99673461914062,14.42041015625,MESSIER_088,0.0076085970114698484,2MRS
138.08123779296875,-24.17259979248047,g0912194-241021,0.002288249693059323,2MRS
186.2657470703125,12.88696002960205,MESSIER_084,0.0035357794091004117,2MRS
64.04360961914062,-55.7801399230957,04161030-5546510,0.004006104783329806,2MRS
161.9566650390625,12.581629753112793,MESSIER_105,0.0030387689072551654,2MRS
133.17227172851562,33.42179870605469,NGC_2683,0.001370948431264405,2MRS
192.6108856201172,25.50075912475586,NGC_4725,0.004022782988089714,2MRS
202.498291015625,47.26612854003906,MESSIER_051b,0.001551073042671407,2MRS
161.6905975341797,11.819939613342285,MESSIER_096,0.002992069933927424,2MRS
41.579410552978516,-30.27490997314453,NGC_1097,0.004239599649968513,2MRS
54.62118148803711,-35.450740814208984,NGC_1399,0.004753288356573667,2MRS
114.21414947509766,65.60254669189453,NGC_2403,0.0004369689647095792,2MRS
192.1496124267578,-5.800849914550781,NGC_4697,0.004139530421409067,2MRS
197.73463439941406,37.05894088745117,NGC_5005,0.0031555163405745184,2MRS
192.2591094970703,-8.664349555969238,g1249022-083952,0.004259613495680402,2MRS
188.5126190185547,7.6991400718688965,NGC_4526,0.0014943671464877212,2MRS
3.7233400344848633,-39.19662857055664,NGC_0055,0.00043029768280561614,2MRS
183.9768524169922,13.149399757385254,NGC_4216,0.0004369689647095792,2MRS
53.40190887451172,-36.14065933227539,g0333364-360826,0.00555050654409725,2MRS
146.41163635253906,-31.191089630126953,NGC_2997,0.0036291773557558943,2MRS
